method,split,episodes,Relation_Completion_Rate,False_Completion_Rate,Wrong_Stage_Advance_Rate,Recovery_Success_Rate,Semantic_Task_Success,Nominal_Task_Success,Path_Length_m
Arrival-only,heldout,100,0.6493506493506493,0.35064935064935066,0.35064935064935066,0.0,0.0,1.0,6.040855270624161
Arrival-only,train,300,0.36272727272727273,0.6372727272727273,0.6372727272727273,0.0,0.0,1.0,7.780412966211637
Oracle,heldout,100,0.974025974025974,0.025974025974025976,0.0,0.0,0.92,0.92,7.314208018288021
Oracle,train,300,0.9760809567617296,0.02391904323827047,0.0,0.0,0.9133333333333333,0.9133333333333333,10.217062510023514
Relation-preserving recovery,heldout,100,0.974025974025974,0.35064935064935066,0.0,0.9259259259259259,0.92,0.92,6.276078679382802
Relation-preserving recovery,train,300,0.982648401826484,0.5260273972602739,0.0,0.9670138888888888,0.9366666666666666,0.9366666666666666,10.011645010391872
Relation-verified,heldout,100,0.5,0.5,0.0,0.0,0.0,0.0,4.713612802028656
Relation-verified,train,300,0.4991652754590985,0.5008347245409015,0.0,0.0,0.0,0.0,4.5934042783578235
Same-goal retry,heldout,100,0.6493506493506493,0.35064935064935066,0.35064935064935066,0.0,0.0,1.0,6.040855309963226
Same-goal retry,train,300,0.36272727272727273,0.6372727272727273,0.6372727272727273,0.0,0.0,1.0,7.780413049459457
