method,task_type,episodes,SR,SR_CI_low,SR_CI_high,Final_DTG_m,Path_Length_m,Tool_Validity_Rate,VLM_Calls,VLM_Latency_s
Direct-VLM,S1,20,0.4,0.2,0.6,5.962404865026474,8.575596143305301,0.84,2.5,3.8322561789304017
Direct-VLM,S2,30,0.0,0.0,0.0,8.262528347969056,13.363738947610061,1.0,6.0,9.833107170338431
Direct-VLM,S3,30,0.0,0.0,0.0,8.281763974825541,7.217314337690671,0.9172932330827067,4.433333333333334,7.19534490481019
FullTopo-VLM,S1,20,0.45,0.25,0.65,6.050060281157494,7.326495768874883,0.6666666666666666,1.65,2.2604858628474176
FullTopo-VLM,S2,30,0.3,0.13333333333333333,0.4666666666666667,5.809094353516897,12.506214500963688,1.0,4.8,7.405449721651773
FullTopo-VLM,S3,30,0.3333333333333333,0.16666666666666666,0.5,5.731559880574545,13.976734625796476,1.0,4.666666666666667,8.457764601521195
FullTopo+Validator,S1,20,0.45,0.25,0.65,6.050060281157494,7.326495768874883,0.6666666666666666,1.65,2.2604858628474176
FullTopo+Validator,S2,30,0.3,0.13333333333333333,0.4666666666666667,5.809094353516897,12.506214500963688,1.0,4.8,7.405449721651773
FullTopo+Validator,S3,30,0.3333333333333333,0.16666666666666666,0.5,5.731559880574545,13.976734625796476,1.0,4.666666666666667,8.457764601521195
History-Agent,S1,20,0.45,0.25,0.65,5.739271208643913,8.10728679150343,0.6857142857142857,1.75,3.403542837128043
History-Agent,S2,30,0.6333333333333333,0.4666666666666667,0.8,4.302918422222137,13.148281242946783,0.9213483146067416,2.966666666666667,6.223880014382303
History-Agent,S3,30,0.6,0.43333333333333335,0.7666666666666667,4.639049692948659,13.608166302740575,0.9696969696969697,3.3,7.661656415152053
TopoNav-Harness,S1,20,0.9,0.75,1.0,2.9138190358877183,18.30008392110467,1.0,2.55,5.159970543719828
TopoNav-Harness,S2,30,0.9,0.8,1.0,2.9490432063738505,14.258459465702375,0.8717948717948718,2.6,4.615274018297593
TopoNav-Harness,S3,30,0.4666666666666667,0.3,0.6333333333333333,5.317433845996857,12.121023129920165,0.8387096774193549,4.133333333333334,6.6872142599274715
